City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
268,Bilma,NE,64.54,clear sky,18.6853,12.9164,Expeditions Ténére voyages
270,Sasebo,JP,39.0,overcast clouds,33.1592,129.7228,Toyoko Inn Sasebo Ekimae
272,Marsh Harbour,BS,73.92,clear sky,26.5412,-77.0636,Abaco Beach Resort
274,Tateyama,JP,33.82,broken clouds,34.9833,139.8667,Tateyama Seaside Hotel
276,Saint-Philippe,RE,81.99,light rain,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
277,Meulaboh,ID,75.6,overcast clouds,4.1363,96.1285,Kost Pria
278,Newport,GB,51.26,overcast clouds,51.5877,-2.9984,ibis budget Newport
279,Mount Gambier,AU,60.71,overcast clouds,-37.8333,140.7667,The Commodore
280,Santa Fe,AR,81.01,clear sky,-31.6333,-60.7,Conquistador Hotel
281,Conde,BR,85.46,broken clouds,-7.2597,-34.9075,Pousada Beija Flor
282,Kawalu,ID,73.74,light rain,-7.3817,108.2082,KOSAN UNGU UNSIK
284,Eydhafushi,MV,81.52,clear sky,5.1033,73.0708,Soneva Fushi
285,Pacific Grove,US,60.31,overcast clouds,36.6177,-121.9166,Lovers Point Inn
288,Camacupa,AO,63.59,overcast clouds,-12.0167,17.4833,
289,Valle De Allende,MX,46.81,clear sky,26.9333,-105.4,Hotel Meson de San Bartolome
290,Ginir,ET,62.37,broken clouds,7.1333,40.7,Sura Dare Village
291,Sao Jose Da Coroa Grande,BR,84.0,broken clouds,-8.8978,-35.1478,Crôa Mares Hotel
292,Mangochi,MW,71.38,moderate rain,-14.4782,35.2645,Fort Johnstone Hotel
293,Eresos,GR,44.11,broken clouds,39.1667,25.9333,Studio Aspa
294,Tudela,ES,49.87,few clouds,42.0617,-1.6045,Sercotel Tudela Bardenas
295,Fomboni,KM,82.54,scattered clouds,-12.28,43.7425,Auberge les abou
297,Hirara,JP,62.51,overcast clouds,24.8,125.2833,Hotel Atoll Emerald Miyakojima
298,Srandakan,ID,62.73,overcast clouds,-7.9386,110.2506,Puri Brata
299,Shingu,JP,38.91,scattered clouds,33.7333,135.9833,Shingu UI Hotel
301,Ribeira Grande,PT,63.0,scattered clouds,38.5167,-28.7,Quinta da Meia Eira
303,Sucua,EC,83.14,light rain,-2.4667,-78.1667,Hotel Orellana
304,Harper,LR,82.09,broken clouds,4.375,-7.7169,Screensaver
305,Thinadhoo,MV,82.67,broken clouds,0.5333,72.9333,
306,Floresti,MD,37.9,light rain,47.8933,28.3014,Floresti
307,Bad Sachsa,DE,40.32,overcast clouds,51.595,10.5555,Göbel's Vital Hotel
308,Kagoro,NG,76.48,clear sky,9.6,8.3833,Palm Garden Hotel
309,Popondetta,PG,75.15,overcast clouds,-8.7537,148.2534,Timos Transit House
310,Makakilo City,US,73.29,clear sky,21.3469,-158.0858,Marriott's Ko Olina Beach Club
311,Lucea,JM,82.26,clear sky,18.451,-78.1736,Grand Palladium Jamaica Resort & Spa
313,Collie,AU,71.19,clear sky,-33.3667,116.15,Collie Ridge
315,San Ignacio,BZ,69.94,overcast clouds,17.1561,-89.0714,Rainforest Haven Inn
317,Kota Kinabalu,MY,78.78,few clouds,5.9749,116.0724,Gaya Centre Hotel
320,Xuddur,SO,80.71,broken clouds,4.1213,43.8894,Banjanay Hotel
321,Vila,PT,45.48,few clouds,42.0304,-8.1588,Hotel Castrum Villae by Walk Hotels
322,Nelson Bay,AU,71.01,overcast clouds,-32.7167,152.15,Mantra Nelson Bay
324,Port Elizabeth,ZA,70.09,broken clouds,-33.918,25.5701,39 On Nile Guest House
325,San Patricio,US,48.16,clear sky,28.017,-97.5169,"Motel 6 Sinton, TX"
