City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
100,Weligama,LK,2022-02-01 05:12:34,5.9667,80.4167,84.76,63,20,2.98
101,Hinche,HT,2022-02-01 05:12:35,19.15,-72.0167,69.22,89,95,3.15
102,Palmer,US,2022-02-01 05:12:35,42.1584,-72.3287,14.02,80,0,0.0
103,Harper,LR,2022-02-01 05:12:36,4.375,-7.7169,77.18,86,81,3.71
104,Ekhabi,RU,2022-02-01 05:12:36,53.5102,142.9671,5.23,92,100,24.02
105,Nabire,ID,2022-02-01 05:12:36,-3.3667,135.4833,84.36,64,98,6.04
106,Gornopravdinsk,RU,2022-02-01 05:12:37,60.05,69.9,1.45,97,100,4.59
107,Bela Pod Bezdezem,CZ,2022-02-01 05:12:37,50.5012,14.8042,35.74,89,100,8.55
108,Vaini,TO,2022-02-01 05:09:43,-21.2,-175.2,84.36,79,40,10.36
109,Nanortalik,GL,2022-02-01 05:12:20,60.1432,-45.2371,22.21,80,100,8.63
110,Adre,TD,2022-02-01 05:12:38,13.4667,22.2,52.18,25,0,15.59
111,Padron,ES,2022-02-01 05:12:38,42.7388,-8.6606,51.28,91,0,6.42
112,Nantucket,US,2022-02-01 05:09:18,41.2835,-70.0995,31.14,71,20,8.05
113,Luan,CH,2022-02-01 05:12:38,46.3592,6.9759,26.69,91,100,5.01
114,Saint-Philippe,RE,2022-02-01 05:09:57,-21.3585,55.7679,83.75,77,96,14.5
115,Atuona,PF,2022-02-01 05:09:42,-9.8,-139.0333,78.78,75,9,20.65
116,Husavik,IS,2022-02-01 05:09:42,66.0449,-17.3389,19.38,84,100,25.86
117,Kodiak,US,2022-02-01 05:09:43,57.79,-152.4072,35.11,87,100,18.41
118,Cradock,ZA,2022-02-01 05:12:40,-32.1642,25.6192,70.88,74,100,7.96
119,Sao Filipe,CV,2022-02-01 05:12:40,14.8961,-24.4956,74.98,69,100,10.09
120,Nagorsk,RU,2022-02-01 05:12:41,59.3172,50.8078,20.21,94,100,8.52
121,Tanout,NE,2022-02-01 05:08:09,14.9709,8.8879,49.17,22,3,12.39
122,Saskylakh,RU,2022-02-01 05:12:41,71.9167,114.0833,-28.75,100,72,2.01
123,Aitape,PG,2022-02-01 05:12:42,-3.1374,142.3475,80.44,74,100,2.91
124,Dakar,SN,2022-02-01 05:12:36,14.6937,-17.4441,68.88,81,95,20.74
125,Quatre Cocos,MU,2022-02-01 05:12:42,-20.2078,57.7625,84.09,77,100,23.87
126,West Bay,KY,2022-02-01 05:11:07,19.3667,-81.4167,75.0,75,81,1.99
127,Mogadishu,SO,2022-02-01 05:12:43,2.0371,45.3438,79.03,80,100,15.75
128,Kidal,ML,2022-02-01 05:12:43,18.4411,1.4078,58.41,11,8,10.47
129,Funadhoo,MV,2022-02-01 05:12:43,6.15,73.2667,82.31,73,2,10.47
130,Ancud,CL,2022-02-01 05:11:17,-41.8697,-73.8203,59.23,91,89,5.73
131,Miandrivazo,MG,2022-02-01 05:12:44,-19.5167,45.4667,83.97,53,8,3.76
132,Talgar,KZ,2022-02-01 05:12:44,43.3027,77.2395,21.36,93,100,6.71
133,Conceicao Do Araguaia,BR,2022-02-01 05:12:45,-8.2578,-49.2647,72.54,95,99,1.52
134,Chernigovka,RU,2022-02-01 05:12:45,44.3389,132.5728,11.86,83,54,4.38
135,Taoudenni,ML,2022-02-01 05:12:45,22.6783,-3.9836,63.54,8,13,11.52
136,Ginir,ET,2022-02-01 05:12:46,7.1333,40.7,62.46,23,47,1.45
137,Mahebourg,MU,2022-02-01 05:11:23,-20.4081,57.7,84.25,77,100,23.33
138,Tuktoyaktuk,CA,2022-02-01 05:12:31,69.4541,-133.0374,-17.46,100,100,1.28
139,Cayenne,GF,2022-02-01 05:11:25,4.9333,-52.3333,80.1,84,100,5.01
140,Major Isidoro,BR,2022-02-01 05:13:47,-9.5322,-36.985,74.73,82,9,5.82
141,Abu Dhabi,AE,2022-02-01 05:08:52,24.4667,54.3667,68.11,96,0,1.99
142,Hobart,AU,2022-02-01 05:13:47,-42.8794,147.3294,76.86,41,0,17.27
143,Tecpan,GT,2022-02-01 05:13:48,14.7623,-90.9947,52.61,92,91,1.43
144,Gigmoto,PH,2022-02-01 05:13:48,13.7796,124.39,79.0,86,58,12.8
145,Tamiahua,MX,2022-02-01 05:13:49,21.2667,-97.45,67.14,90,55,5.28
146,Zelenoborskiy,RU,2022-02-01 05:13:49,66.845,32.3622,2.19,98,100,3.33
147,Bilibino,RU,2022-02-01 05:13:50,68.0546,166.4372,4.21,70,100,6.29
148,Bethel,US,2022-02-01 05:09:39,41.3712,-73.414,20.7,70,0,0.0
149,Los Llanos De Aridane,ES,2022-02-01 05:12:24,28.6585,-17.9182,57.13,46,0,10.0
150,Goderich,CA,2022-02-01 05:13:50,43.7501,-81.7165,22.21,83,12,13.69
151,Conakry,GN,2022-02-01 05:13:13,9.538,-13.6773,71.37,83,83,8.95
152,Bredasdorp,ZA,2022-02-01 05:13:51,-34.5322,20.0403,73.27,94,27,3.47
153,Kavieng,PG,2022-02-01 05:08:51,-2.5744,150.7967,79.25,87,98,15.64
154,Sitka,US,2022-02-01 05:13:51,57.0531,-135.33,33.69,86,75,9.22
155,Rantepao,ID,2022-02-01 05:13:52,-2.9701,119.8978,85.42,48,48,3.6
156,Fairbanks,US,2022-02-01 05:10:02,64.8378,-147.7164,-16.4,76,0,0.0
157,Manyana,BW,2022-02-01 05:13:53,-23.4,21.7167,68.2,82,100,12.82
158,Pozo Colorado,PY,2022-02-01 05:13:53,-23.4923,-58.7972,78.35,29,86,4.21
159,Gat,IL,2022-02-01 05:08:59,31.61,34.7642,51.4,100,71,7.63
160,Camacha,PT,2022-02-01 05:13:53,33.0833,-16.3333,61.56,77,20,25.32
161,Puerto Ayora,EC,2022-02-01 05:13:54,-0.7393,-90.3518,71.55,96,92,4.74
162,Kilindoni,TZ,2022-02-01 05:13:54,-7.9139,39.6668,80.42,77,79,5.19
163,Boden,SE,2022-02-01 05:13:54,65.8252,21.6886,-2.2,96,38,3.67
164,Kununurra,AU,2022-02-01 05:12:41,-15.7667,128.7333,89.58,62,75,18.41
165,Wamba,NG,2022-02-01 05:13:55,8.9333,8.6,63.07,23,46,3.58
166,Matara,LK,2022-02-01 05:13:56,5.9485,80.5353,85.46,60,15,5.79
167,Cabo San Lucas,MX,2022-02-01 05:06:53,22.8909,-109.9124,68.5,63,0,7.16
168,Faanui,PF,2022-02-01 05:13:56,-16.4833,-151.75,81.0,75,5,21.34
169,Clyde River,CA,2022-02-01 05:13:56,70.4692,-68.5914,-25.47,86,100,2.68
170,Hami,CN,2022-02-01 05:13:57,42.8,93.45,25.56,30,42,1.41
171,Upernavik,GL,2022-02-01 05:09:37,72.7868,-56.1549,-23.37,99,95,6.08
172,Qiongshan,CN,2022-02-01 05:13:57,20.0058,110.3542,66.65,92,100,17.76
173,Praia Da Vitoria,PT,2022-02-01 05:13:58,38.7333,-27.0667,58.75,84,99,16.75
174,Leningradskiy,RU,2022-02-01 05:13:58,69.3833,178.4167,-16.56,95,51,10.16
175,Casian,PH,2022-02-01 05:13:59,11.035,119.7136,81.39,78,17,21.14
176,Lebu,CL,2022-02-01 05:13:59,-37.6167,-73.65,56.79,82,0,16.71
